edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
1,1903-07-01,Maurice Garin,La Française,2428.0,94.55388888888888,2.9891666666666667,3,6,1.62,60.0,32,1871-03-03,1957-02-19,,The Little Chimney-sweep,Arvier,Italy, France
2,1904-07-02,Henri Cornet,Conte,2428.0,96.09861111111113,2.270555555555556,1,3,,,19,1884-08-04,1941-03-18,,Le rigolo (The joker),Desvres,France, France
3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994.0,,,5,10,,,24,1881-06-29,1939-04-24,,Levaloy / Trou-trou,Paris,France, France
4,1906-07-04,René Pottier,Peugeot–Wolber,4637.0,,,5,12,,,27,1879-06-05,1907-01-25,,,Moret-sur-Loing,France, France
5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488.0,,,2,5,,,24,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497.0,,,5,13,,,25,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
7,1909-07-05,François Faber,Alcyon–Dunlop,4498.0,,,6,13,1.78,88.0,22,1887-01-26,1915-05-09,,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg
8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734.0,,,4,3,,,22,1887-10-24,1917-07-14,,,Paris,France, France
9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343.0,,,2,13,,,26,1884-09-24,1963-01-28,Cyprien Gustave Garrigou,,Vabres,France, France
10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289.0,,,3,13,,,23,1888-07-14,1965-08-21,,,Rumbeke,Belgium, Belgium
11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287.0,197.9,0.13555555555555554,1,8,,,23,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
12,1914-06-28,Philippe Thys,Peugeot–Wolber,5380.0,200.48,0.016944444444444443,1,15,,,24,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
13,1919-06-29,Firmin Lambot,La Sportive,5560.0,231.1208333333333,1.715,1,2,,,33,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium
14,1920-06-27,Philippe Thys,La Sportive,5503.0,228.6036111111111,0.9658333333333332,4,14,,,30,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
15,1921-06-26,Léon Scieur,La Sportive,5485.0,221.84055555555562,0.305,2,14,,,33,1888-03-18,1969-10-07,,,Florennes,Belgium, Belgium
16,1922-06-25,Firmin Lambot,Peugeot–Wolber,5375.0,222.135,0.6947222222222222,0,3,,,36,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium
17,1923-06-24,Henri Pélissier,Automoto–Hutchinson,5386.0,222.25833333333333,0.5083333333333333,3,6,,,34,1889-01-22,1935-05-01,,,Paris,France, France
18,1924-06-22,Ottavio Bottecchia,Automoto,5425.0,226.3058333333333,0.5930555555555556,4,15,,,29,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy
19,1925-06-21,Ottavio Bottecchia,Automoto–Hutchinson,5440.0,219.17166666666665,0.915,4,13,,,30,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy
20,1926-06-20,Lucien Buysse,Automoto–Hutchinson,5745.0,238.74027777777775,1.3736111111111111,2,8,,,33,1892-09-11,1980-01-03,,,Wontergem,Belgium, Belgium
21,1927-06-19,Nicolas Frantz,Alcyon–Dunlop,5398.0,198.2783333333333,1.8113888888888892,3,14,,,27,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg
22,1928-06-17,Nicolas Frantz,Alcyon–Dunlop,5476.0,192.81611111111116,0.8472222222222222,5,22,,,28,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg
23,1929-06-30,Maurice De Waele,Alcyon–Dunlop,5286.0,186.65416666666667,0.7455555555555555,1,16,,,32,1896-12-27,1952-02-14,,,Lovendegem,Belgium, Belgium
24,1930-07-02,André Leducq,Alcyon–Dunlop,4822.0,172.2044444444444,0.23722222222222225,2,13,,,26,1904-02-27,1980-06-18,,,Saint-Ouen,France, France
25,1931-06-30,Antonin Magne,France,5091.0,177.1675,0.20333333333333334,1,16,,,27,1904-01-15,1983-09-08,,,Ytrac,France, France
26,1932-07-06,André Leducq,France,4479.0,154.19694444444445,0.4066666666666667,6,19,,,28,1904-02-27,1980-06-18,,,Saint-Ouen,France, France
27,1933-06-27,Georges Speicher,France,4395.0,147.86027777777778,0.06777777777777777,3,12,,,26,1907-06-08,1978-01-24,,,Paris,France, France
28,1934-07-03,Antonin Magne,France,4470.0,147.23277777777778,0.4575,3,22,,,30,1904-01-15,1983-09-08,,,Ytrac,France, France
29,1935-07-04,Romain Maes,Belgium,4338.0,141.38333333333333,0.2880555555555556,3,21,,,22,1912-08-10,1983-02-22,,,Zerkegem,Belgium, Belgium
30,1936-07-07,Sylvère Maes,Belgium,4442.0,142.79222222222222,0.4405555555555556,4,14,,,26,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium
31,1937-06-30,Roger Lapébie,France,4415.0,138.97527777777782,0.11861111111111113,3,4,,,26,1911-01-16,1996-10-12,,,Bayonne,France, France
32,1938-07-05,Gino Bartali,Italy,4694.0,148.48666666666662,0.305,2,8,1.72,66.0,23,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
33,1939-07-10,Sylvère Maes,Belgium,4224.0,132.05472222222224,0.5083333333333333,2,8,,,29,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium
34,1947-06-25,Jean Robic,France,4642.0,148.1902777777778,0.050833333333333335,3,1,1.61,60.0,26,1921-06-10,1980-10-06,,"Biquet (Kid goat), Tête de cuir (Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée",Vouziers,France, France
35,1948-06-30,Gino Bartali,Italy,4922.0,147.17666666666662,0.4405555555555556,7,9,1.72,66.0,33,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
36,1949-06-30,Fausto Coppi,Italy,4808.0,149.68027777777775,0.16944444444444445,3,5,1.77,68.0,29,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy
37,1950-07-13,Ferdinand Kübler,Switzerland,4773.0,145.61555555555555,0.1525,3,11,,,30,1919-07-24,2016-12-29,,"Ferdi, The Cowboy, The Eagle of Adliswil, Mr 100,000 Volts[",Marthalen,Switzerland,  Switzerland
38,1951-07-04,Hugo Koblet,Switzerland,4690.0,142.33722222222227,0.37277777777777776,5,11,,,26,1925-03-21,1964-11-06,,"Beautiful Hugo, Le pédaleur de charme",Zürich,Switzerland,  Switzerland
39,1952-06-25,Fausto Coppi,Italy,4898.0,151.95555555555555,0.4744444444444445,5,14,1.77,68.0,30,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy
40,1953-07-03,Louison Bobet,France,4476.0,129.39027777777778,0.23722222222222225,2,5,1.79,75.0,26,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
41,1954-07-08,Louison Bobet,France,4656.0,140.10138888888892,0.25416666666666665,3,14,1.79,75.0,29,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
42,1955-07-07,Louison Bobet,France,4495.0,130.49055555555555,0.06777777777777777,2,6,1.79,75.0,30,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
43,1956-07-05,Roger Walkowiak,France,4498.0,124.02111111111113,0.016944444444444443,0,8,,,29,1927-03-02,2017-02-06,,Walko,Montluçon,France, France
44,1957-06-27,Jacques Anquetil,France,4669.0,135.74499999999998,0.23722222222222225,4,15,1.76,70.0,23,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
45,1958-06-26,Charly Gaul,Luxembourg,4319.0,116.98472222222222,0.050833333333333335,4,2,1.73,64.0,25,1932-12-08,2005-12-06,,Angel of the Mountains,Pfaffenthal,Luxembourg, Luxembourg
46,1959-06-25,Federico Bahamontes,Spain,4358.0,123.77916666666668,0.06777777777777777,1,6,,,30,1928-07-09,,Alejandro Martín Bahamontes,The Eagle of Toledo,Santo Domingo-Caudilla,Spain, Spain
47,1960-06-26,Gastone Nencini,Italy,4173.0,112.145,0.08472222222222221,0,14,,,30,1930-03-01,1980-02-01,,"Il Leone del Mugello, Faccia di fatica (Fatigue-face)",Barberino di Mugello,Italy, Italy
48,1961-06-25,Jacques Anquetil,France,4397.0,122.02583333333334,0.20333333333333334,2,21,1.76,70.0,27,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
49,1962-06-24,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274.0,114.53166666666668,0.06777777777777777,2,3,1.76,70.0,28,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
50,1963-06-23,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138.0,113.50138888888887,0.050833333333333335,4,5,1.76,70.0,29,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
51,1964-06-22,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4504.0,127.16222222222223,0.015277777777777776,4,6,1.76,70.0,30,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
52,1965-06-22,Felice Gimondi,Salvarani,4188.0,116.70166666666668,0.03388888888888888,3,18,1.81,71.0,22,1942-09-29,2019-08-16,,The Phoenix,Sedrina,Italy, Italy
53,1966-06-21,Lucien Aimar,Ford France–Hutchinson,4329.0,117.5725,0.016944444444444443,0,6,,,25,1941-04-28,,,,Hyères,France, France
54,1967-06-29,Roger Pingeon,Peugeot–BP–Michelin,4779.0,136.89722222222218,0.050833333333333335,1,17,1.82,72.0,26,1940-08-28,2017-03-19,,"Le grand échassier, Le plombier-zingueur",Hauteville-Lompnes,France, France
55,1968-06-27,Jan Janssen,Pelforth–Sauvage–Lejeune,4492.0,133.82833333333332,0.010555555555555556,2,1,,,28,1940-05-19,,Johannes Adrianus Janssen,,Nootdorp,Netherlands, Netherlands
56,1969-06-28,Eddy Merckx,Faema,4117.0,116.26722222222222,0.2880555555555556,6,18,1.82,74.0,24,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
57,1970-06-27,Eddy Merckx,Faemino–Faema,4254.0,119.53027777777778,0.20333333333333334,8,20,1.82,74.0,25,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
58,1971-06-26,Eddy Merckx,Molteni,3608.0,96.75388888888891,0.1525,4,17,1.82,74.0,26,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
59,1972-07-01,Eddy Merckx,Molteni,3846.0,108.28833333333333,0.16944444444444445,6,15,1.82,74.0,27,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
60,1973-06-30,Luis Ocaña,Bic,4090.0,122.42611111111113,0.25416666666666665,6,14,1.65,52.0,28,1945-06-09,1994-06-19,Jesús Luis Ocaña Pernía,,Priego,Spain, Spain
61,1974-06-27,Eddy Merckx,Molteni,4098.0,116.28277777777778,0.13555555555555554,8,18,1.82,74.0,29,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
62,1975-06-26,Bernard Thévenet,Peugeot–BP–Michelin,4000.0,114.59194444444445,0.03388888888888888,2,8,,,27,1948-01-10,,,Nanard,Saint-Julien-de-Civry,France, France
63,1976-06-24,Lucien Van Impe,Gitane–Campagnolo,4017.0,116.37305555555555,0.06777777777777777,1,12,,58.0,29,1946-10-20,,,de kleine van Mere,Mere,Belgium, Belgium
64,1977-06-30,Bernard Thévenet,Peugeot–Esso–Michelin,4096.0,115.64166666666668,0.013333333333333334,1,8,,,29,1948-01-10,,,Nanard,Saint-Julien-de-Civry,France, France
65,1978-06-29,Bernard Hinault,Renault–Gitane–Campagnolo,3908.0,108.3,0.050833333333333335,3,3,1.74,62.0,23,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
66,1979-06-27,Bernard Hinault,Renault–Gitane,3765.0,103.11388888888888,0.2202777777777778,7,17,1.74,62.0,24,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
67,1980-06-26,Joop Zoetemelk,TI–Raleigh–Creda,3842.0,109.32055555555556,0.10166666666666667,2,10,1.73,68.0,33,1946-12-03,,Hendrik Gerardus Joseph Zoetemelk,Joop,The Hague,Netherlands, Netherlands
68,1981-06-25,Bernard Hinault,Renault–Elf–Gitane,3753.0,96.32722222222222,0.23722222222222225,5,18,1.74,62.0,26,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
69,1982-07-02,Bernard Hinault,Renault–Elf–Gitane,3507.0,92.14611111111113,0.10166666666666667,4,12,1.74,62.0,27,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
70,1983-07-01,Laurent Fignon,Renault–Elf,3809.0,105.13111111111112,0.06777777777777777,1,6,1.74,67.0,22,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France
71,1984-06-29,Laurent Fignon,Renault–Elf,4021.0,112.06111111111109,0.16944444444444445,5,7,1.74,67.0,23,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France
72,1985-06-28,Bernard Hinault,La Vie Claire,4109.0,113.40638888888891,0.016944444444444443,2,16,1.74,62.0,30,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
73,1986-07-04,Greg LeMond,La Vie Claire,4094.0,110.58861111111109,0.050833333333333335,1,7,1.78,67.0,25,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
74,1987-07-01,Stephen Roche,Carrera Jeans–Vagabond,4231.0,115.46166666666667,0.011111111111111113,1,3,1.75,74.0,27,1959-11-28,,,,Dundrum,Ireland, Ireland
75,1988-07-02,Pedro Delgado,Reynolds,3286.0,84.46472222222222,0.11861111111111113,1,11,1.71,64.0,28,1960-04-15,,Pedro Delgado Robledo,Perico,Segovia,Spain, Spain
76,1989-07-01,Greg LeMond,AD Renting–W-Cup–Bottecchia,3285.0,87.64305555555555,0.0022222222222222227,3,8,1.78,67.0,28,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
77,1990-06-30,Greg LeMond,Z–Tomasso,3504.0,90.72222222222223,0.03388888888888888,0,2,1.78,67.0,29,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
78,1991-07-06,Miguel Induráin,Banesto,3914.0,101.02222222222224,0.050833333333333335,2,10,1.86,80.0,26,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
79,1992-07-04,Miguel Induráin,Banesto,3983.0,100.825,0.06777777777777777,3,10,1.86,80.0,27,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
80,1993-07-03,Miguel Induráin,Banesto,3714.0,95.9525,0.06777777777777777,2,14,1.86,80.0,28,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
81,1994-07-02,Miguel Induráin,Banesto,3978.0,103.64388888888891,0.08472222222222221,1,13,1.86,80.0,29,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
82,1995-07-01,Miguel Induráin,Banesto,3635.0,92.74972222222222,0.06777777777777777,2,13,1.86,80.0,30,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
83,1996-06-29,Bjarne Riis,Team Telekom,3765.0,95.95444444444445,0.016944444444444443,2,13,1.84,71.0,32,1964-04-03,,Bjarne Lykkegård Riis,"Ørnen fra Herning
(The Eagle from Herning)",Herning,Denmark, Denmark
84,1997-07-05,Jan Ullrich,Team Telekom,3950.0,100.50972222222221,0.1525,2,12,1.83,73.0,23,1973-12-02,,,"Der Kaiser, Der Jan, Der Junge, The Yoyo",Rostock,Germany, Germany
85,1998-07-11,Marco Pantani,Mercatone Uno–Bianchi,3875.0,92.82944444444445,0.050833333333333335,2,7,1.72,57.0,28,1970-01-13,2004-02-14,,"Il Pirata (The pirate), Elefantino (The little elephant)",Cesena,Italy, Italy
86,1999-07-03,Lance Armstrong,U.S. Postal Service,3687.0,91.53777777777779,0.11861111111111113,4,15,1.77,75.0,27,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
87,2000-07-01,Lance Armstrong,U.S. Postal Service,3662.0,92.5522222222222,0.10166666666666667,1,12,1.77,75.0,28,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
88,2001-07-07,Lance Armstrong,U.S. Postal Service,3458.0,86.29111111111109,0.10166666666666667,4,8,1.77,75.0,29,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
89,2002-07-06,Lance Armstrong,U.S. Postal Service,3272.0,82.08666666666666,0.11861111111111113,4,11,1.77,75.0,30,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
90,2003-07-05,Lance Armstrong,U.S. Postal Service,3427.0,83.68666666666667,0.016944444444444443,1,13,1.77,75.0,31,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
91,2004-07-03,Lance Armstrong,U.S. Postal Service,3391.0,83.60055555555554,0.10166666666666667,5,7,1.77,75.0,32,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
92,2005-07-02,Lance Armstrong,Discovery Channel,3593.0,86.25055555555555,0.06777777777777777,1,17,1.77,75.0,33,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
93,2006-07-01,Óscar Pereiro,Caisse d'Epargne–Illes Balears,3657.0,89.67416666666666,0.008888888888888889,0,8,1.77,68.0,28,1977-08-03,,Óscar Pereiro Sío,,Mos,Spain, Spain
94,2007-07-07,Alberto Contador,Discovery Channel,3570.0,91.00722222222224,0.006388888888888889,1,4,1.76,62.0,24,1982-12-06,,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
95,2008-07-05,Carlos Sastre,Team CSC,3559.0,87.88111111111111,0.01611111111111111,1,5,1.73,60.0,33,1975-04-22,,Carlos Sastre Candil,,Leganés,Spain, Spain
96,2009-07-04,Alberto Contador,Astana,3459.0,85.80972222222222,0.06777777777777777,2,7,1.76,62.0,26,1982-12-06,,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
97,2010-07-03,Andy Schleck,Team Saxo Bank,3642.0,91.99083333333333,0.016944444444444443,2,12,1.86,68.0,25,1985-06-10,,Andy Raymond Schleck,,Luxembourg City,Luxembourg, Luxembourg
98,2011-07-02,Cadel Evans,BMC Racing Team,3430.0,86.20611111111111,0.016944444444444443,1,2,1.74,64.0,34,1977-02-14,,Cadel Lee Evans,,Katherine,Australia, Australia
99,2012-06-20,Bradley Wiggins,Team Sky,3496.0,87.57972222222222,0.050833333333333335,2,14,1.9,69.0,32,1980-04-28,,Bradley Marc Wiggins,Wiggo,Ghent,Belgium, Great Britain
100,2013-06-29,Chris Froome,Team Sky,3404.0,83.9388888888889,0.06777777777777777,3,14,1.86,69.0,28,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
101,2014-07-05,Vincenzo Nibali,Astana,3660.5,89.985,0.11861111111111113,4,19,1.8,65.0,29,1984-11-14,,,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)",Messina,Italy, Italy
102,2015-07-04,Chris Froome,Team Sky,3360.3,84.77055555555556,0.016944444444444443,1,16,1.86,69.0,30,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
103,2016-07-02,Chris Froome,Team Sky,3529.0,89.08,0.06777777777777777,2,14,1.86,69.0,31,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
104,2017-07-01,Chris Froome,Team Sky,3540.0,86.34861111111111,0.015,0,15,1.86,69.0,32,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
105,2018-07-07,Geraint Thomas,Team Sky,3349.0,83.28694444444444,0.016944444444444443,2,11,1.83,71.0,32,1986-05-25,,Geraint Howell Thomas,G,Cardiff,Wales, Great Britain
106,2019-07-06,Egan Bernal,Team Ineos,3349.0,82.95,0.016944444444444443,0,2,1.75,60.0,22,1997-01-13,,Egan Arley Bernal Gómez,,Bogotá,Columbia, Colombia
